CCT Business Services Pty Ltd --> Census year: 2018 || Block ID: 218 || Property ID: 102675 || Base property ID: 102675 || CLUE small area: Carlton || Industry (ANZSIC4) code: 6932 || Industry (ANZSIC4) description: Accounting Services || x coordinate: 144.967865 || y coordinate: -37.799824 || Location: (-37.79982399, 144.9678646) || 

Carlton Clocktower Apartments --> Census year: 2018 || Block ID: 218 || Property ID: 102675 || Base property ID: 102675 || CLUE small area: Carlton || Industry (ANZSIC4) code: 4400 || Industry (ANZSIC4) description: Accommodation || x coordinate: 144.967865 || y coordinate: -37.799824 || Location: (-37.79982399, 144.9678646) || 

IT and Beyond --> Census year: 2018 || Block ID: 54 || Property ID: 108104 || Base property ID: 108104 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 7000 || Industry (ANZSIC4) description: Computer System Design and Related Services || x coordinate: 144.960680 || y coordinate: -37.814028 || Location: (-37.81402804, 144.9606803) || 

Starbucks --> Census year: 2018 || Block ID: 85 || Property ID: 105746 || Base property ID: 105746 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4511 || Industry (ANZSIC4) description: Cafes and Restaurants || x coordinate: 144.962756 || y coordinate: -37.810902 || Location: (-37.81090175, 144.9627564) || 

Glassons --> Census year: 2018 || Block ID: 85 || Property ID: 105746 || Base property ID: 105746 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4255 || Industry (ANZSIC4) description: Women's Clothing Retailing || x coordinate: 144.962756 || y coordinate: -37.810902 || Location: (-37.81090175, 144.9627564) || 

Cafe Vita --> Census year: 2018 || Block ID: 85 || Property ID: 105746 || Base property ID: 105746 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4512 || Industry (ANZSIC4) description: Takeaway Food Services || x coordinate: 144.962756 || y coordinate: -37.810902 || Location: (-37.81090175, 144.9627564) || 

Jay Jay's --> Census year: 2018 || Block ID: 85 || Property ID: 105746 || Base property ID: 105746 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4251 || Industry (ANZSIC4) description: Clothing Retailing || x coordinate: 144.962756 || y coordinate: -37.810902 || Location: (-37.81090175, 144.9627564) || 

Ugg --> Census year: 2018 || Block ID: 65 || Property ID: 105698 || Base property ID: 105698 || CLUE small area: Melbourne (CBD) || Industry (ANZSIC4) code: 4252 || Industry (ANZSIC4) description: Footwear Retailing || x coordinate: 144.963843 || y coordinate: -37.812470 || Location: (-37.81247035, 144.9638435) || 

Vacant --> Census year: 2018 || Block ID: 781 || Property ID: 110551 || Base property ID: 110551 || CLUE small area: Port Melbourne || Industry (ANZSIC4) code: 0 || Industry (ANZSIC4) description: Vacant Space || x coordinate: 144.925386 || y coordinate: -37.823028 || Location: (-37.82302799, 144.9253861) || 

